,Unnamed: 0,tweet_id,user_username,text,created_at,conversation_id,lang,possibly_sensitive,author_id,source,in_reply_to_user_id,user_verified,user_profile_image_url,user_name,user_protected,user_created_at,user_location,user_description,user_url,user_pinned_tweet_id,retweet_count,like_count,quote_count,user_tweet_count,user_list_count,user_followers_count,user_following_count,sourcetweet_type,sourcetweet_id,sourcetweet_text,Code,sourcetweet_lang,sourcetweet_author_id,Self-organization,SO code,Building community,BC code,Broadening the counterpublic,BtC code,Creating change in math,CCM code,SJEDI,SJEDI code,CODER,all codes,User Name,Display Name,In JMM 2020 Program?,In JMM 2021 Program,Too anonymous to determine,Organization
0,1,1.21786E+18,mathyadriana,"Anyone feel like looking through the list of invited talks at #JMM2020 and see the # of nonmen, lgbtq, and poc giving these? It will help with my #disruptJMM bit in my talk, but not sure i have time!",2020-01-16T17:09:55.000Z,1.21786E+18,en,FALSE,7.76451E+17,Twitter for iPhone,NA,FALSE,https://pbs.twimg.com/profile_images/1267652145991618564/rnpdjctF_normal.jpg,Dr. Adriana Salerno Domínguez 🇻🇪,FALSE,2016-09-15T16:01:03.000Z,"Portland, ME","Math prof @BatesCollege. Program Officer (DMS/ANT) @nsf -- views/tweets are my own. Venezuelan, nerd, Jefa. #OnLeaveNotDead #Blacklivesmatter. (She/her)",,NA,3,16,0,5727,71,3107,813,NA,NA,NA,,NA,NA,0,,1,talk support,0,,0,,1,bipoc; lgbtq; gender,DL,bipoc;gender;lgbtq;talk support,mathyadriana,Dr. Adriana Salerno Domínguez 🇻🇪,TRUE,FALSE,FALSE,FALSE
1,5,1.21786E+18,mathprofcarrie,"""If you think that your right to speech is more important than another human's worth and dignity, then you might want to rethink your stance."" @xl772 on diversity statement editorial letters. #disruptJMM @JointMath #JMM2020 

So proud of my community!!!",2020-01-16T17:08:04.000Z,1.21786E+18,en,FALSE,31611970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,14,56,1,17401,129,3097,2423,NA,NA,NA,,NA,NA,1,amplification,1,talk support,1,influencers,0,,1,representation,RR,amplification;influencers;representation;talk support,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
2,8,1.21786E+18,pwr2dppl,I ran at elevation to make it to @xl772's #DisruptJMM moment in her talk and it was well worth it but now I'm dead.,2020-01-16T17:05:46.000Z,1.21786E+18,en,FALSE,3308531970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1026615205332021248/L4debxu1_normal.jpg,DR. ABOLISH THE POLICE,FALSE,2015-08-07T08:21:21.000Z,Toronto,"1312 BLM MMIW; Make Euler Weep Again
students! steal the means of education! (she/they)",https://t.co/LfP2F61ncT,1.43323E+18,1,12,0,30431,42,3326,571,NA,NA,NA,,NA,NA,1,amplification,1,talk support; thankful,0,,0,,0,,JH,amplification;talk support;thankful,pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
3,9,1.21785E+18,mathprofcarrie,@WanderingPoint @xl772 @pwr2dppl Here!!! #disruptJMM you go @xl772,2020-01-16T17:02:17.000Z,1.21785E+18,en,FALSE,31611970,Twitter for Android,2932698781,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,0,3,0,17401,129,3097,2423,NA,NA,NA,,NA,NA,0,,1,talk support; emotional support,0,,0,,0,,DL,emotional support;talk support,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
4,10,1.21785E+18,mathprofcarrie,@xl772 @pwr2dppl Where and what? - let's get the #disruptJMM folks to support!,2020-01-16T16:53:06.000Z,1.21785E+18,en,FALSE,31611970,Twitter for Android,1260729972,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,0,5,0,17401,129,3097,2423,NA,NA,NA,,NA,NA,0,,1,BC impact; talk support,0,,0,,0,,RR,BC impact;talk support,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
5,12,1.21785E+18,xl772,"I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...

We have to thank @pwr2dppl and others who put their selves and their bodies on the line to work to further justice in math. It’s incredibly difficult.",2020-01-16T16:46:36.000Z,1.21785E+18,en,FALSE,1260729972,Twitter for iPhone,NA,FALSE,https://pbs.twimg.com/profile_images/1267804251515994114/IbNirZsA_normal.jpg,Prof. Christelle Vincent,FALSE,2013-03-12T00:42:44.000Z,"Burlington, VT","Mathematician by day, mathematician by night. My pronouns are she/her. Self ID: cis het white woman, québécoise.",,NA,5,61,3,13549,37,1367,654,NA,NA,NA,,NA,NA,1,amplification; SO impact,1,talk support; thankful,1,influencers,0,,0,,JH,SO impact;amplification;influencers;talk support;thankful,xl772,Prof. Christelle Vincent,TRUE,FALSE,FALSE,FALSE
6,18,1.21783E+18,WanderingPoint,"Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to people who identify as “American Indian or Alaska Native” #JMM2020 #disruptJMM https://t.co/wXcxBorAG3",2020-01-16T15:36:37.000Z,1.21783E+18,en,FALSE,2932698781,Twitter for iPhone,NA,FALSE,https://pbs.twimg.com/profile_images/574748429361922048/bfEubWru_normal.png,Dr. Wandering Point,FALSE,2014-12-16T19:22:06.000Z,NA,"Mathematician, feminist, hot sauce lover, olive hater. Come at me, bro. (she / her)",,7.86765E+17,11,37,0,7245,46,2587,360,NA,NA,NA,,NA,NA,1,amplification,1,talk support,1,hashtags,0,,1,indigenous,DL,amplification;hashtags;indigenous;talk support,WanderingPoint,Dr. Wandering Point,FALSE,FALSE,TRUE,FALSE
7,19,1.21783E+18,LoboWithACause,I’m sorry to miss more days of visiting and events at #DisruptJMM but I need to get back to meetings and family. Thank you all for a great experience! No #AwkwardBoardingSelfie but maybe this mural at DEN counts as a Denver selfie. What do you #NoticeAndWonder? #JMM2020 https://t.co/6HApFHHCLT,2020-01-16T15:36:37.000Z,1.21783E+18,en,FALSE,1969930824,Twitter for iPhone,NA,FALSE,https://pbs.twimg.com/profile_images/1443790216343351298/QhcE4Rzw_normal.jpg,Dr. Belin Tsinnajinnie,FALSE,2013-10-19T01:18:35.000Z,NA,"Diné and Filipino from Na'Neelzhiin, NM | I try to teach math | he/him | Beh-LIN TSIN-Ah-Jin-Ee | a blemish on mathematics",,1.32379E+18,2,17,1,8467,22,1294,1605,NA,NA,NA,,NA,NA,0,,1,BC impact; thankful,1,hashtags,0,,0,,RR,BC impact;hashtags;thankful,LoboWithACause,Dr. Belin Tsinnajinnie,TRUE,FALSE,FALSE,FALSE
8,21,1.21781E+18,LoboWithACause,"Seriosly, taking pictures while accurately and succinctly summarizing important and key points with appropriate tags is task that takes amazing skill and love! Thank you all so much not only for my session, but for everyone who live tweets academic talks! #JMM2020 #DisruptJMM https://t.co/90hOQ3ozEf",2020-01-16T14:14:35.000Z,1.21781E+18,en,FALSE,1969930824,Twitter for iPhone,NA,FALSE,https://pbs.twimg.com/profile_images/1443790216343351298/QhcE4Rzw_normal.jpg,Dr. Belin Tsinnajinnie,FALSE,2013-10-19T01:18:35.000Z,NA,"Diné and Filipino from Na'Neelzhiin, NM | I try to teach math | he/him | Beh-LIN TSIN-Ah-Jin-Ee | a blemish on mathematics",,1.32379E+18,0,9,0,8467,22,1294,1605,quoted,1.21749E+18,Very happy for folks like @mathyadriana @monsoon0 @thewordninja_bk @pwr2dppl @fra_berni and others for live tweeting @LoboWithACause's talk at #JMM! Thanks everyone and please keep sharing the #DisruptJMM content for all of us who aren't there!!!,"live academic tweeting, supporting others",en,9.69877E+17,1,amplification,1,talk support; thankful,0,,0,,0,,JH,amplification;talk support;thankful,LoboWithACause,Dr. Belin Tsinnajinnie,TRUE,FALSE,FALSE,FALSE
9,52,1.21777E+18,mathprofcarrie,"My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGMAA QL) Meeting in Room 501 CCC. @JointMath #JointMath
https://t.co/ECkhd7j6Oi #DisruptJMM",2020-01-16T11:21:59.000Z,1.21777E+18,en,FALSE,31611970,Twitter Web App,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,4,8,0,17401,129,3097,2423,NA,NA,NA,,NA,NA,0,,1,talk support,1,influencers,0,,0,,DL,influencers;talk support,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
