,text
210,user78 user184 I thought I’d set my alarm for 3:20PM turns out it was AM 👀👀👀 anywho i know it was good and i saw your disruptjmm slide and it’s AMAZING
211,#DisruptJMM @ the AMS Special Session Women of Color in Topology and Algebra. https://t.co/busSyRPqaP
212,I'm glad you enjoyed it! I got so nervous with the #disruptJMM discussion at the beginning of my talk that I ended up flying through things a lot faster than I had planned. 🙃 https://t.co/OZgoZvwblA
213,Just asking a fundamental mathematical question: when are two things the same? #disruptJMM https://t.co/z6T5MqIAMH https://t.co/f5Yiq0FE4Q
214,user36 s #DisruptJMM coming through for #JMM2021 🔥🔥🔥 https://t.co/a6FlKo1hLi
215,"And then I said that we likely wanted to do something to make our part of the world better and brought up this slide:
#DisruptJMM

3/4 https://t.co/ifjJWd4Gny"
216,"I'm not at JMM so if you are there and being better than this, THANK YOU, we need you &lt;3 #disruptJMM"
217,"It is very frustrating to see #JMM2021 tweets that are like ""ooh math yay"" when like...hello!? there was a coup and attack on democracy yesterday? 

The energy you have to continue on as if nothing happened could be used in so many other meaningful ways. #disruptJMM"
218,watching user184 #DisruptJMM and being reminded of what math can feel like 💓💓
219,"Yay user184 #DisruptJMM
#JMM2021 https://t.co/L8hDJ75fQk"
220,"Apparently user347 and user235 have learned nothing from #DisruptJMM they can't even say anything of value against a fascist coup.

The purpose of this message is to keep #JMM2021 going. Can I get my $$ back? https://t.co/ZIhX7aAoYa"
221,#DisruptJMM - wow https://t.co/2hnxfQqOVM
222,#disruptJMM https://t.co/eM5qpiVdmo
223,Not the #DisruptJMM i was hoping for
224,"Even experts in American racism have accepted (or haven't had time/energy to fight to unlearn) the white supremacist lie that Asian Americans are comfortable.

#DisruptJMM #JMM2021"
225,"2. Advertise it. Embrace it. Support it. 
3. Following up on the idea behind #disruptjmm, encourage every speaker to take a moment/include a slide (or more) regarding any social inequity topic of their choice. (3/4)"
226,"Yikes!
From the biggest annual meeting of mathematicians in the world.
Sense of urgency (and more!) makes you a white supremacist.
So is defund ambulances next?

And from maths, of all fields.
#JMM2021 user197 #disruptjmm https://t.co/EWUFA2kHwg"
227,"[Not to 🔨 away at this user347 piece, during #JMM/#JMM2021/#DisruptJMM, indefinitely but]

The change effected through collective action in #Georgia juxtaposes with the embarrassingly shallow power analysis [commentary?👀🤔] from this not-worth-it-to-read blog post.

#mtbos https://t.co/qvfUqthzle"
228,"""The only thing we should be doing is training and graduating anti-racist students...and decolonizing the mathematics curriculum""  #JMM2021 #disruptjmm  YEAH!! 🙌🙌"
229,"""A 30 minute conversation on racism with your BlL [Black, Indigenous, Latinx] colleague is 30 minutes for you, but often 2 or three hours for your marginalized and tokenized colleague"" - Erica Graham (Slightly paraphrased due to slow typing) #JMM2021 #disruptjmm"
230,"Dr. Erica Graham's talk ""Anti-racism in mathematics: Who, what, when, where, why, and how now"" at #JMM2021 user197 #disruptjmm
""There's a belief that those in power have a right to comfort in white supremacy culture"" https://t.co/onAiNkOf2I"
231,TIL there's an user347 Special Session on Mathematics in Security &amp; Defense #JMM2021 #DisruptJMM
232,so I went to #JMM2021 site for the first time and watched the slideshow of invited addresses. seems like nobody's challenging anyone to change. guess user347 is happy with how things are. covid notwithstanding. #DisruptJMM #DisruptJMM2021
233,Second #DisruptJMM bio: https://t.co/IzlXSp1iCF
234,"Guess it's official now! Now on to the talk (Fri 2:30 MT, 4:30 ET).
Preview of a talk in two parts:
1. Traditional inspirational address on teaching.
2. Critical look at diversity/equity/inclusion in math. #DisruptJMM #DisruptMath 
#JMM2021 ⁦user10  ⁦user235  https://t.co/AlUkmnEfK1"
235,"user36 user78 user184 user308 user266 user13 user356 Last year was the first time I had gone to JMM in about a decade. After last year, I actually felt excited about connecting with math community and was considering attending JMM2021. 

RN I don’t have plans to attend but I’m down to #DisruptJMM and #DisruptMarh here on Twitter."
236,user78 user184 user356 user102 user308 user266 user13 hmm wonder if someone could make a virtual background to share with #DisruptJMM ppl
237,"user184 user78 user102 user308 user266 user13 user356 so I think a the very least we hijack math twitter again, yeah? #JMM2021 #DisruptJMM but I will be mostly talking about the pandemic and my lack of childcare."
238,"I'm so excited to be giving this talk today! user262 #BLMatWAC 
#disruptJMM 
#disruptMath 
#TMWYF https://t.co/8FnbqTrj4z"
239,"user189 there was a “disruptjmm” hashtag going around at the most recent joint meeting, which I found extremely entertaining—it’s a way to call yourself a mathematician without actually having to bash your head in doing math. It’s a hell of a grift, I almost respect it."
240,"user126 user343 user152 user48 yeah - as long as we distinguish the gate keepers blocking the door from the people that need to hear the message.

but, i get it.  that's in part why user36 coined #disruptJMM - to get the conversation in the door."
241,"user308 user266 user13 user102 user9 user184 user172 user347 Okay so yeah I think what is this #altJMM is more important than (and determines) how we #DisruptJMM 

It would have been nice for AROOO style resources for those in need, but I assume it's too late"
242,"user36 user266 user216 user13 user102 user9 user184 user308 I feel like if ""we"" (who are we? do we have a name?) don't go, it leaves JMM to ""them"" -- it makes it easier for the issues to get ignored if no one is there stirring things up. I think the #DisruptJMM and #DisruptMath ""events"" last year were an important start."
243,"user216 user172 user36 user13 user102 user9 user184 user308 Oh, I assumed maybe there were emails that JMM was cancelled but you are asking how to #disruptJMM this year. Lol

Yeah, so a takeover of some main talks would be great. Maybe chatting with some of the invited lecturers and challenge them so say something re: #shutdowmath"
244,"already getting emails about #JMM2021 if user347 keeps on keeping on imma light my own blog on fire. sorry user212 user250 I'm OVER the reasons and logistics.
#DisruptMath #DisruptJMM #ShutDownMath #ShutDownSTEM #BlackLivesMatter"
245,and I'm troubled that after #DisruptJMM and #DisruptMath and in the light of #ShutDownSTEM #ShutDownAcademia #ShutDownMath user101 and user347 seem poised to celebrate a mathematician who worked on predictive policing
246,organizations of #Math have #power to help move us away from the #myth that #math is neutral. user370 user69 user36 user212 user96 user371 user235 user347 #MTBoS #iteachmath #disruptJMM https://t.co/GoutzK1eHH
247,I got the job! I am delighted to be joining the team at SCS Noonan Scholars to teach through their summer academy. #disruptJMM #disruptmath https://t.co/H17PuqicAR
248,"Y'all, it's live and published!  Who signs in favor of various positions on diversity in mathematics and what does that say about mathematics as a field and it's past or future? #disruptJMM #disruptMath https://t.co/xhdrgTSgr8"
249,"user8 user87 user38 user202 Cet hiver, des mathématiciennes ont fait entendre leur voix au congrès annuel de la Soc mathématique américaine, avec le mot d'ordre #DisruptJMM - au menu de leurs communication, en plus des maths,  minorités, territoires spoliés, conditions de travail. Juste retour à l'envoyeur."
250,#disruptMath #disruptMASON #disruptJMM #disruptMathfest https://t.co/jZoAIr9M76
251,user74 user160 user36 user172 user13 Wow - so amazing!!!! So brave!  Thank you for continuing the #disruptJMM and #disruptMath movement!
252,Thanks to user36 user172 and the many others participating in #DisruptJMM that inspired me to do it! And also to user13 and his students for the idea of #MakeSpaceTakeSpace which helped me frame it. https://t.co/5g7TX7eQWj
253,mathematics is not colorblind ... pass it on #disruptmath #disruptJMM https://t.co/XH0gjr9SO1
254,"Chaos, When the present determines the future, but the approximate present does not approximately determine the future #chaos #innovazione #complexity #disruptjmm"
255,"“The #future of #mathematics depends on continuing to face the challenges within our professional community, embedded as we are in a world still unable to fully face the deep injustices due to our #racist history.” - Michael Pearson #equity #socialjustice #iteachmath #disruptJMM https://t.co/8hOLUsz7mp"
256,Ran into an undergrad who brought up #DisruptJMM and how excited they were about it 🥰
257,Is anyone planning to make #disruptmath tshirts for MathFest? #disruptJMM
258,"This week's GMD newsletter!
👉https://t.co/VgmMkkv6D4

feat:
user239 user6 user191 user136 #DisruptJMM+#DisruptMath+#DisruptMaths
user36 user347 #BHM 2018, 2019, 2020
user358 user57 user352 🎨🖌

[#MTBoS+#iTeachMath]

春节快乐! https://t.co/VULvw8nbyi"
259,"user335 Contrasting experience: I talked to someone who isn’t online much, saw 2 talks include #disruptJMM messages in meaningful ways, and was really moved by both."
260,"user335 Reaching less than every attendee of JMM doesn't mean that #disruptJMM didn't have an impact.

We can all still #DisruptMath now and in the future. Now your friend knows because you told her, right?"
261,"user335 Since one of the points of #disruptJMM was that many times conversations about justice, diversity and inclusion are relegated to panels and not main stages, it's not surprising that someone could have missed people talking about it."
262,"user335 #disruptJMM organically appeared during conference presentations of those that responded to user36 's call last year, and spread by word of mouth, but it wasn't a fully orchestrated event by the societies. In-person was by chance, but I hope to see it grow even more next year."
263,I should probably mention that #disruptJMM is what pushed me onto twitter.
264,"user36 We all got emailed a survey, and there's a fill-in-the-blank question ""What was your favorite part of JMM?"" and I wrote #DisruptJMM"
265,I hope everyone is doing the JMM Participant Survey and saying that #disruptJMM was their favorite part.
266,user10 user251 user300 user356 user344 user203 From her (curated😂) 1st JMM experience user251 said math seemed way ahead of other fields in the thoughtfulness of our conversations. This is certainly not widespread; but thx user102 user36 user172 user266 +… #DisruptJMM for pushing in this direction.
267,user112 Our community really stepped up. I was really proud. And our next generation. They just blew me away. #disruptJMM #DisruptMath
268,Heading to my first class not entitled prepare. Going to have to rely on the #DisruptJMM and #DisruptMath energy.
269,"I was very stressed about JMM but I got to meet so many math twitter friends in person! It was amazing, especially #DisruptJMM people! Thanks for making JMM a way more positive experience than I expected.

Looking forward to the #DisruptMath future 👀"
270,I'm genuinely sad to have missed what sounded like an intense JMM this year. Gratitude to everyone who was out there being their bold bad selves. #disruptJMM
271,"On the heels of #disruptJMM you might be interested to know that the deadline for several PCMI summer programs were extended, incl the workshop on Rehumanizing Mathematics. Submit by Jan. 22 to learn ways to be creatively insubordinate &amp; #DisruptMath 
https://t.co/NJAFI4lE0u https://t.co/xWVW3cNliN"
272,Thanks for sharing!  JMM sounds like it took a turn for the better this year.  #disruptJMM  More of us in maths ed might attend in the future if the tone continues. I noticed several invited speakers and sessions I would have attended https://t.co/1PICb4fjh2 https://t.co/wc1ZOsjGao
273,Happy to report that these numbers are out of date - this year's winners included user13 and Suzie Weekes. Thanks to those who nominated them and by  doing so (intentionally or not) worked to #disruptJMM. https://t.co/M4S6g1rS7r
274,Well put. #DisruptJMM #DisruptMath https://t.co/ikQWAZ2ArR
275,"user307 Best part is you can participate in #disruptJMM and #disruptMath without being there, but we look forward to your participation at a math meeting near you. :)"
276,"""Citations are not a proxy for merit.""
And many more reasons why caring about diversity in our field does NOT make you a ""second-rate"" mathematician. 

Read. This. To the end. #DisruptJMM user358 
 https://t.co/ubg7Toa5Ta"
277,"Reading all of the #disruptjmm posts, I’m kind of bummed I didn’t go to JMM this year. https://t.co/zQUgO222BW"
278,This paragraph is a good accompaniment to  user172 s #DisruptJMM #DisruptMath intro this week. https://t.co/GicTo5GLhe
279,We should ALL volunteer to help carry this burden.  Thanks for your courage. #DisruptJMM #DisruptMath https://t.co/gDQlBaOZad
280,#disruptJMM #disruptmath https://t.co/r3Kt0NKFT0
281,user266 user76 user75 user212 Absolutely! #DisruptJMM !
282,"user341 user76 user75 user212 I mean, you definitely should #DisruptJMM. Everywhere :) 
But now I wished I'd put in an paper, lol."
283,"I’m heading to the airport, so I suppose #JMM2020 is really over. This was my favorite JMM ever. By far. Thank you user151 and user172 for the call-outs. #DisruptJMM gives me hope for our field. https://t.co/nMlAShWCmT"
284,I didn’t have a talk w slides so here’s my #DisruptJMM statement: Support matters. We have a real say in who stays and who leaves and it’s time to take responsibility for that.
285,"Hey #DisruptJMM (and now #disriptmath?) peeps!  Those of you who were interested in what we decided at the meeting regarding a possible #SIGMAAJEDI, see the link below!

Stay tuned.

https://t.co/5FoIsDjUe3"
286,"Re-sharing as #DisruptJMM fades &amp; #DisruptMath emerges!

Direct link to #DisruptMaths presentation [#TMCNYC19]:
👉https://t.co/wvGktBHnDU

Hoping the mathematical `Disruption` cuts across pre-K to 12 as well as post-secondary and other mathematical spaces.

[#MTBoS + #iTeachMath] https://t.co/Z1dFQq8KgK"
287,"user36 user129 user212 We've got friends everywhere, right? #DisruptJMM #DisruptMath https://t.co/FDqmrtLv1w"
288,"user129 user36 user212 I've heard rumors that JMM might mean January math meetings, so we can still use #disruptJMM - but I could just be spreading unfounded rumors. I suggest we move to #DisruptMath and just take this everywhere. At the very least I'm planning on Mathfest."
289,"user241 Everyone on the hashtag was kind of here with us at this meeting, even if you weren't physically here - thank you all! #DisruptJMM"
290,#DisruptJMM https://t.co/QL3VUOABZL
291,Last night in Denver. #DisruptJMM https://t.co/iEDZtYwU9L
292,#JMM2020 is a busy time. But one has to make time for things that feed your soul. user13 talk was my souls dessert. #DisruptJMM https://t.co/hmwU4Br2oB
293,user266 Thank *you* for opening up so many amazing conversations here #DisruptJMM #JMM2020
294,Then and now: Della Dumbaugh and Hannah Fenster on being a mother and daughter duo of mathematicians #mathmamas #DisruptJMM #JMM2020 https://t.co/nyw7CQKdtq
295,"I am hearing user266 ‘s powerful, emotional story about duo ethnography underlying many of our lives as #mathmamas #DisruptJMM #JMM2020 https://t.co/qqlC6J5QgC"
296,"So far we've had spatial analysis, #IBLmath teaching, ODEs, PDEs, and probability represented among the dimensions of mathematics explored as a result of motherhood. #mathmamas My talk is at 3:30 on duoethnography to explore mathematics belongingness and identity #DisruptJMM"
297,"This brave important statement by user43 brings some focus of #DisruptJMM on sexual harassment. Mathematics colleagues, if you haven’t read https://t.co/Cem3jPRnhw, please do. https://t.co/lugovZvXQa"
298,AMS-AWM invited session on Mathematics and Motherhood starts with Emille Davies Lawrence who talked about creating an online community of support for academic math mamas online. Because mathematicians are people too. Room 403 1-6 pm. #DisruptJMM #JMM2020 https://t.co/TBPy6LEpsx
299,"RT user266  ""If you think that your right to speech is more important than another human's worth and dignity, then you might want t…"
300,RT user308  I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...…
301,"RT user266  ""If you think that your right to speech is more important than another human's worth and dignity, then you might want t…"
302,RT user308  I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...…
303,RT user36  I ran at elevation to make it to user308 s #DisruptJMM moment in her talk and it was well worth it but now I'm dead.
304,RT user308  I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...…
305,RT user153  Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclus…
306,RT user153  Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclus…
307,"RT user266  My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGM…"
308,"RT user172  Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to pe…"
309,RT user153  Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclus…
310,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM…"
311,RT user78  Very happy for folks like user250 user70 user212 user36 user216 and others for live tweeting user104 
312,RT user266  Higher education and indigenous communities has always been about exploitation. #disruptJMM #JMM2020 https://t.co/WzZEy…
313,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
314,"RT user250  So, why do we care about diversity and inclusion? user102 invites us to answer these questions. #JMM2020 #disrupt…"
315,RT user102  #AwkwardBoardingSelfie On my way to #JMM2020 and sharing a flight with Coach Paul Weir and the rest of the user273 
316,"RT user36  Why #DisruptJMM ? Because this. We don't just need to show the 🦈🦈🦈 we disagree, we gotta show the 🐟🐠🐡 that they belong and ar…"
317,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
318,RT user78  Very happy for folks like user250 user70 user212 user36 user216 and others for live tweeting user104 
319,RT user212  user36 first citation of user10 in user102 s invited presentation. #DisruptJMM for moving diversity -&gt;…
320,RT user266  Higher education and indigenous communities has always been about exploitation. #disruptJMM #JMM2020 https://t.co/WzZEy…
321,RT user266  Opening slide for user102 talk at #JMM2020 #disruptJMM https://t.co/Es3oySfstA
322,RT user70  I didn’t expect to be facing my own sense of not-belonging so quickly and so deeply in this #DisruptJMM session... user10
323,"RT user355  A challenge from user102 to consider “why” diversity and inclusion.
Reference to a blog post from user152 
#dis…"
324,"RT user357  Here we come, user10  #awkwardboardingselfie #disruptJMM https://t.co/3rNmRs0M8S"
325,RT user153  Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclus…
326,RT user230  Thank you for organizing this. There were so many important points made and I have many things to think about. #disrup…
327,RT user266  #DisruptJMM user102 explores what it's like when your mathematics job opportunities are with institutions/compa…
328,RT user216  Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow t…
329,RT user266  user78 Solidarity - I'm trying to amplify the #disruptJMM so that we can identify spaces of support to disrupt…
330,"RT user266  #disruptJMM Why do we engage in equity, inclusion, and diversity initiatives? Who really benefits?"
331,RT user266  user250 Hey - old threads are fun to dig up sometimes - you gonna start your #disruptJMM talk this way user157 
332,"RT user36  Yo, user102 is delivering 🔥 and 🗡️ but in a voice that sounds like 🕊️ #JMM2020 #DisruptJMM"
333,"RT user355  Challenge revisited, user102 highlights the metaphor and encourages us to reflect on its implications:
“Welcome indi…"
334,RT user230  user102 Thank you for sharing this this morning. I was definitely challenged to think about what inclusion mea…
335,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
336,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
337,"RT user266  okay, BS slides done. I think. I counted at least 5 #disruptJMM Thursday!!!!!!"
338,"RT user357  Here we come, user10  #awkwardboardingselfie #disruptJMM https://t.co/3rNmRs0M8S"
339,"RT user266  My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGM…"
340,"RT user266  My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGM…"
341,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
342,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
343,RT user36  Another Cengage email!! Omg is user173 at #JMM2020 ?? Can we #DisruptJMM by glaring at Cengage until they UNSUBSCRIB…
344,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
345,RT user230  user102 Thank you for sharing this this morning. I was definitely challenged to think about what inclusion mea…
346,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
347,RT user216  D&amp;I for the betterment of math without efforts to bring resources and give back to the marginalized communities individuals…
348,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM…"
349,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
350,RT user212  user36 first citation of user10 in user102 s invited presentation. #DisruptJMM for moving diversity -&gt;…
351,RT user70  My first session at #JMM2020 has a proud tweet-banner by user36 I am so looking forward to #DisruptJMM and to hearing user298 
352,RT user216  Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow t…
353,"RT user355  A challenge from user102 to consider “why” diversity and inclusion.
Reference to a blog post from user152 
#dis…"
354,RT user36  Important message/reminder from user102 that loss of language is not some kind of natural occurrence. Loss of indigen…
355,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
356,"RT user355  Challenge revisited, user102 highlights the metaphor and encourages us to reflect on its implications:
“Welcome indi…"
357,RT user266  #DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subt…
358,"RT user250  The awesome user266 introduces user102 , with a call to acknowledge the stolen lands we’re on and to #dis…"
359,"RT user266  To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and st…"
360,"RT user36  Yo, user102 is delivering 🔥 and 🗡️ but in a voice that sounds like 🕊️ #JMM2020 #DisruptJMM"
361,RT user266  #DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subt…
362,"RT user250  So, why do we care about diversity and inclusion? user102 invites us to answer these questions. #JMM2020 #disrupt…"
363,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
364,"RT user266  To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and st…"
365,RT user266  #DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subt…
366,RT user230  Thank you for organizing this. There were so many important points made and I have many things to think about. #disrup…
367,"RT user36  Why #DisruptJMM ? Because this. We don't just need to show the 🦈🦈🦈 we disagree, we gotta show the 🐟🐠🐡 that they belong and ar…"
368,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
369,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
370,"RT user36  What user102 said this morning was so important and interesting and I almost napped instead, but I will need to nap b…"
371,RT user70  My first session at #JMM2020 has a proud tweet-banner by user36 I am so looking forward to #DisruptJMM and to hearing user298 
372,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
373,"RT user250  So, why do we care about diversity and inclusion? user102 invites us to answer these questions. #JMM2020 #disrupt…"
374,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
375,"RT user266  To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and st…"
376,"RT user250  The awesome user266 introduces user102 , with a call to acknowledge the stolen lands we’re on and to #dis…"
377,RT user216  Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow t…
378,RT user266  #DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subt…
379,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
380,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
381,RT user266  #DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subt…
382,"RT user266  To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and st…"
383,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
384,RT user70  My first session at #JMM2020 has a proud tweet-banner by user36 I am so looking forward to #DisruptJMM and to hearing user298 
385,RT user216  Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow t…
386,RT user250  KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
387,"RT user355  A challenge from user102 to consider “why” diversity and inclusion.
Reference to a blog post from user152 
#dis…"
388,"RT user75  Diversity as a paradigm is one more way to center, privilege, and benefit whiteness. #DisruptJMM https://t.co/uytwIWE3gc"
389,RT user216  Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow t…
390,"RT user250  The awesome user266 introduces user102 , with a call to acknowledge the stolen lands we’re on and to #dis…"
391,"RT user250  The awesome user266 introduces user102 , with a call to acknowledge the stolen lands we’re on and to #dis…"
392,RT user70  My first session at #JMM2020 has a proud tweet-banner by user36 I am so looking forward to #DisruptJMM and to hearing user298 
393,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
394,"RT user36  Why #DisruptJMM ? Because this. We don't just need to show the 🦈🦈🦈 we disagree, we gotta show the 🐟🐠🐡 that they belong and ar…"
395,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
396,"RT user36  Why #DisruptJMM ? Because this. We don't just need to show the 🦈🦈🦈 we disagree, we gotta show the 🐟🐠🐡 that they belong and ar…"
397,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
398,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
399,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
400,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
401,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
402,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
403,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
404,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
405,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
406,RT user266  #EiM2 #ethics #disruptdatascience #disruptJMM #CSEthics https://t.co/Yi3KlL0rYW
407,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
408,"RT user36  In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/5…"
409,RT user172  #DisruptJMM https://t.co/5ucbcaEpD9
410,RT user266  Practicing new hashtags. #DisruptJMM #DisruptMath
411,RT user172  #DisruptJMM https://t.co/5ucbcaEpD9
412,"RT user75  There are trans and non-binary students, staff, and faculty across campus. If your solidarity doesn't extend outside of your o…"
413,RT user75  Waiting for shitty people to retire and/or die doesn't solve any problems for anyone. They're making new transphobes all the t…
414,"RT user210  I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior fr…"
415,"RT user210  I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior fr…"
416,"RT user75  But like, own your responsibility to do better, and don't put the labor on trans / nb people to tell you how to do better.
#di…"
417,"RT user75  Resources we should learn about: Trevor Project, OSTEM, PFLAG ...
#disruptJMM #JMM2020 user10"
418,"RT user75  There are trans and non-binary students, staff, and faculty across campus. If your solidarity doesn't extend outside of your o…"
419,"RT user266  Panel answer about transgender and non-binary student support: ""There is power in being out...in a 'What are you going…"
420,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
421,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
422,"RT user246  “[C]arry some of this weight with me, so I can get back to thinking about math."" 🔥❤️🔥 #DisruptJMM"
423,"RT user246  “[C]arry some of this weight with me, so I can get back to thinking about math."" 🔥❤️🔥 #DisruptJMM"
424,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
425,"RT user266  Panel answer about transgender and non-binary student support: ""There is power in being out...in a 'What are you going…"
426,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
427,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
428,RT user205  I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #Disrup…
429,RT user75  You should just think a lot about this entire slide. #DisruptJMM user10 #JMM2020 https://t.co/PdzVZg9qhr
430,"RT user210  I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior fr…"
431,RT user205  I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #Disrup…
432,RT user75  Kelly MacArthur now speaking about the ways she's worked to rehumanize exams in a big calculus course. If we're shifting our p…
