,text
44,"In honor of #DiversityandInclusion
I hope you will consider how you might #DisruptJMM 

Challenge for #JMM2020 https://t.co/57uDt4ifgJ"
45,user35 user75 user341 #disruptJMM
46,user250 That sounded like the opening to a great plenary though #disruptjmm
47,#EiM2 #ethics #disruptdatascience #disruptJMM #CSEthics https://t.co/Yi3KlL0rYW
48,Practicing new hashtags. #DisruptJMM #DisruptMath
49,#DisruptJMM https://t.co/5ucbcaEpD9
50,I like this take (read the thread) and I hope more privileged people can adapt this attitude when challenged. #DisruptJMM https://t.co/rMZiWaQCQb
51,"“[C]arry some of this weight with me, so I can get back to thinking about math."" 🔥❤️🔥 #DisruptJMM https://t.co/QDuUh9q1cB"
52,I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #DisruptJMM https://t.co/k2H1KmSWYe
53,Hey #DisruptJMM - user266 are going to be at Stout St. social for about 45 mins if you want to join!
54,user76 Almost on my way...other #DisruptJMM are welcome to join!
55,I need lunch. Where are my #disruptJMM folks?
56,"Big thanks to aBa Mbirika for a fun and beautiful talk reminding me and us all how fun and beautiful math is. 
#JMM2020 #DisruptJMM user10 https://t.co/SwsXWCvDxZ"
57,"Panel answer about transgender and non-binary student support: ""There is power in being out...in a 'What are you going to do about it?!' kind of way."" The courage of our community, and particularly our junior colleagues is amazing. #disruptJMM"
58,"It's wild to me, and it's a real mark of my privilege, that I don't know who the harassers are in my particular research community. (I'm not naive enough to pretend there aren't any.) #DisruptJMM https://t.co/YL3PVBELns"
59,Really interesting perspective on user172 s #disruptJMM remarks https://t.co/7VyHHRwXkh
60,Educators must be more than allies | Kelly Holstine https://t.co/Xl3acCMIKN via user83 user338 #ClearTheAir #iteachmath #mtbos #DisruptJMM
61,"Advocate for systemic / institutional change if you are in a position to do so, but also, do the stuff that you immediately can.
#disruptJMM #JMM2020 user10"
62,"Donating your time or money to LGBTQ+ people or causes is a good way to apologize meaningfully.
#disruptJMM #JMM2020 user10"
63,"Waiting for shitty people to retire and/or die doesn't solve any problems for anyone. They're making new transphobes all the time.
#disruptJMM #JMM2020 user10"
64,"But like, own your responsibility to do better, and don't put the labor on trans / nb people to tell you how to do better.
#disruptJMM #JMM2020 user10"
65,"How can allies best handle making mistakes? Know that you're human and give yourself grace. But also, guilt is a useful motivator to do better. Use negative experiences to change yourself for the better. Don't make the same mistake again and again.
#disruptJMM #JMM2020 user10"
66,"Resources we should learn about: Trevor Project, OSTEM, PFLAG ...
#disruptJMM #JMM2020 user10"
67,"There are trans and non-binary students, staff, and faculty across campus. If your solidarity doesn't extend outside of your own classroom, it's not going far enough. 
#disruptJMM #JMM2020 user10"
68,"Panel on supporting trans and non-binary students. ""There are gonna be weird moments when someone needs something. Just do it, and help people."" 
#disruptJMM #JMM2020 user10 https://t.co/4zwkesquu1"
69,"I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior from male mathematicians is excused as ""social awkwardness"". Everyone needs to be held to the simple standard of treating their colleagues with dignity https://t.co/8aiZHFWqEz"
70,"In every class, there is a culture. If you're not being intentional about what you want the culture to be, then you can end up with something you really don't want. #DisruptJMM #JMM2020 user10"
71,"Kelly MacArthur now speaking about the ways she's worked to rehumanize exams in a big calculus course. If we're shifting our pedagogy but not our assessments, there's a weird mismatch that undermines our work. #DisruptJMM #JMM2020 user10"
72,"user212 “Privilege makes all of the structures and efforts needed to keep itself in place invisible ... at least from the privileged perspective.” #disruptJMM Thanks, Brian, for such a great talk."
73,"""I know a lot of mediocre white men in academia. There should thus be allowed to be a lot of mediocre people of color in academia."" #JMM2020 #DisruptJMM user10"
74,"user212 “Everyone, student and professional, should experience critical inquiry” #disruptJMM"
75,Of course math has disciplinary worldviews. How could it not? Our collective failure to identify and interrogate our assumptions and worldviews is one of our greatest disciplinary failures. #JMM2020 #disruptJMM user10 https://t.co/D1ZiaGHz1i
76,A favorite #JMM2020 photo illustrates the joyfulness of Dr. Ulrica Wilson (user97 math prof) &amp; Dr. Karoline Pershell (Exec Director of user101 . What image do you conjure when you think of what mathematicians look like? Tweet other examples below. #disruptJMM user10 https://t.co/qPk97dEhKK
77,Here's your reading list for when you go home and work on learning more. #disruptJMM #JMM2020 user10 https://t.co/5CkDrrXRnW
78,#disruptJMM https://t.co/z1Pld2nl2r
79,Whiteness (privilege) distinguishes itself by claiming to be undistinguished. What's a mathematical object that acts like this? #disruptJMM #JMM2020 user10
80,A lot more overlaps with the user347 panel on ethics. #JMM2020 #DisruptJMM user10 https://t.co/Q0QHOghh6M
81,You should just think a lot about this entire slide. #DisruptJMM user10 #JMM2020 https://t.co/PdzVZg9qhr
82,The stereotype of a mathematician is lawful neutral. BK identifies as chaotic good. #DisruptJMM
83,"Full house for user212 s talk ""Mathematics is Not Neutral"" #DisruptJMM user10 #JMM2020 https://t.co/0zYCKaSu5E"
84,"Harassment in mathematics is harmful for current and would-be mathematicians and also (though less important than the people harmed), as user172 makes clear, directly harmful to mathematics itself #DisruptJMM #JMM2020 https://t.co/kZa7uBSfgK"
85,user75 :-)  #DisruptJMM  I'll be thinking of you all.
86,Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s https://t.co/DdGBGsLBKe
87,user129 There's always next year! #DisruptJMM #DisruptMath
88,#DisruptJMM with this talk tomorrow!! https://t.co/mGRGGOM4Ta
89,LOVE the #DisruptJMM tag! Math is not ever neutral! https://t.co/OdIl8a5umq
90,#DisruptJMM https://t.co/79MUOpcfLj
91,I’m disappointed that #DisruptJMM became a thing *after* I stopped attending.
92,Okay - talk done and sent to organizer. Now I can continue to #DisruptJMM
93,This is for those that aren't here as much as the ones that are here. #disruptJMM https://t.co/bhhfE382Dp
94,"Wish we did #DisruptJMM before I quit. Maybe I would still be in academia.

You're amazing, people. 💪✊"
95,"Interestingly, there's also research suggesting a similar phenomenon with TAs who engage in Prof Dev around teaching (bio community data - blanking on the paper). But we all thought being interested in teaching would distract you. Turns out it's the same with JEDI. #DisruptJMM https://t.co/Y7luSfhWqU"
96,My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was everything. #DisruptJMM
97,Haimo award presentation cites bell hooks #DisruptJMM https://t.co/8qkUBWuzo6
98,#DisruptJMM statement ❤️❤️❤️ https://t.co/mBMvOh5Jil
99,Omg user172 🔥🔥🔥😭😭😭 #DisruptJMM I was so happy she acknowledged the overthrow of Hawaii and then she brought me to tears talking about sexual harassment in math
100,I'm at the bar at Wynkoop if anyone wants to join! #DisruptJMM
101,"The New School on NYC has a ""curriculum disruption week""! #JMM2020 #DisruptJMM"
102,user168 This doesn’t seem to be common in the USA. This point was brought home to me in a talk given by user102 user10 earlier this week. I felt strongly that something needed to be done to acknowledge the #DisruptJMM issues he brought up...
103,"What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly fails to include the *book* you wrote, which is in the AMS Bookstall *downstairs* #disruptJMM #JMM2020 https://t.co/JCyrglTKXZ"
104,The poster in question. Notes that the drugs are expensive; what can we do about that? user347 user10 #DisruptJMM #JMM2020 https://t.co/NwkBgOSBKM
105,So I hope my acknowledgment is appropriate #DisruptJMM #JMM2020 https://t.co/HX05YUahvw
106,user125 What’s #DisruptJMM ?
107,"My day:

-Teach calculus for 50 minutes
-Spend the next 10 mins following everyone with #DisruptJMM tweets

Repeat x4"
108,"At #JMM2020 people think I'm wearing a math shirt

#kukiaimauna 
#DisruptJMM 
#HawaiianMath https://t.co/zXLWtpdyVl"
109,Patrick Ingram started his (amazing) talk by asking the audience to go to https://t.co/thGCZ42BRh to see who’s land we live on. #disruptjmm
110,"Note to me: look for user82 s work in the MTEP proceedings. https://t.co/9FH6LqtP7K
#DisruptJMM #JMM2020 user10"
111,user37 really appreciated your talk about the importance of alternate/multiple representations and how small changes can have huge impacts #JMM2020 #DisruptJMM https://t.co/znUGMus9i0
112,".user82 suggests that taking a different approach to mathematical epistemology, and thus broadening your perception of what counts as ""mathematical"" participation, helps #DisruptJMM that hegemony. #JMM2020 user10"
113,user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 user10 user347 https://t.co/Z5WBd9C0uJ
114,"Mathematics is currently the province of a particular cultural group. Therefore, it not only *reflects* the hegemony of that group, but *reinforces* the hegemony of that group. No points for guessing which group. #DisruptJMM #JMM2020 user10 https://t.co/VVDsVuI3OJ"
115,"Figured out user82 s Twitter handle, belatedly. This feels like a really important theoretical contribution. #DisruptJMM #JMM2020 user10 https://t.co/pGgr8j6fUT"
116,A feminist epistemology of mathematics challenges the absolutism that characterizes how we think about truth in mathematics. This is really important because we have spent way not enough time examining our epistemological foundations. #DisruptJMM #JMM2020 user10
117,Well this is going to be a great talk. #DisruptJMM user10 #JMM2020 https://t.co/ATiiuc3VoG
118,Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co/xQfHuKdzcu if they get bored during his talk (which they won’t). Score one for a straight white guy’s #DisruptJMM
119,I love what people are doing to make the Joint Meetings and the mathematical community more inclusive.  We need a lot more.  I hope these efforts grow in future conferences. #DisruptJMM
120,There's an user347 poster down by the ballroom in which we congratulate ourselves on the mathematical contributions we made to the fight against HIV. Here's another number that we're curiously silent about. #DisruptJMM user10 https://t.co/DsUxnFxeGe
121,"Aaron Wangberg asking an important question: Who is actually doing the mathematics, and thus getting opportunities to see the power and meaningfulness of mathematics? Here's a good diagram to help think through this question systematically. #DisruptJMM user10 https://t.co/IbIvi3OkMD"
122,"user81 user172 Yay! Now, get 👏 in 👏 the 👏 hashtag!! #DisruptJMM"
123,"A question spurred by the question session: What are the equity implications of using paid textbooks from for-profit textbook publishers, and how bananas is it that we are *just now* starting to ask this question in systematic ways? #DisruptJMM #JMM2020 user10"
124,"#DisruptJMM We mathematicians have a responsibility to serve our communities, particularly those marginalized and underrepresented. https://t.co/GArlSqsSC9"
125,"Are you tweeting #DisruptJMM? If so consider working with me!
https://t.co/sBKHoeOupq"
126,Nervous about my #DisruptJMM spiel. Will be working today to channel panic &amp; fear into righteous anger.
127,Asking in the Q&amp;A whether a data science program under discussion requires an ethics course... #DisruptJMM
128,Rad. #DisruptJMM https://t.co/gbFpNxzEIn
129,Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so far. They're posting their slides later and you should probably look at them. #JMM2020
130,Citing user146 among others user279 reminds us that #MathIsNotNeutral. #JMM2020 user10 user235 user347 #DisruptJMM https://t.co/jGJuiUYC4y
131,user279 tells us why teaching math with #CulturallyRelevantPedagogy with #SocialJustice us is important. #JMM2020 user10 user235 user347 #DisruptJMM https://t.co/JAIYPprXhO
132,#DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
133,Details: This will be at Leela Cafe from 4:30 to 5:30! Can't wait for this! #SIGMAAJEDI #DisruptJMM https://t.co/2dpCmWGWYN
134,"I'd just like to mention that, in an extremely rare turn of events, I've located a space where there actually need to be way more straight white dudes, and it's called #DisruptJMM
#JMM2020"
135,"user102 user36 In Australia, we acknowledge the indigenous custodianship and law of country of the land on which we meet and pay our respects to those who care for country. What is the right way to do this here user10  user36 user102 ?#disruptJMM"
136,"Yeah, so, btw, user13 absolutely packed Ballroom 1. There's no good reason not to put e.g. his talk in 2-3-4. #DisruptJMM #JEDIMath #JMM2020 https://t.co/3P1T3cNKsy"
137,"For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusive class where STEM students could learn math while having space to talk/journal about power/justice. #JMM2020 and #DisruptJMM have shown me I’m not alone 💜"
138,"Glad to see the #DisruptJMM work from the sidelines (and taking that energy into the spring semester). Math friends, I encourage you to check out the hashtag and follow the people!"
